name,alias,status
Office boy admin,office-boy-admin-jobs,0
I have good knowledge for erp,i-have-good-knowledge-for-erp-jobs,0
Hardware Worker,hardware-worker-jobs,0
Burgerking,burgerking-jobs,0
Project and Design Engineer,project-and-design-engineer-jobs,0
feild boy,feild-boy-jobs,0
Repotar,repotar-jobs,0
cleark,cleark-jobs,0
 Arbi Home Tutor,arbi-home-tutor-jobs,0
Power plant mechanical engineer,power-plant-mechanical-engineer-jobs,0
Cinematographer & Video Editor,cinematographer-and-video-editor-jobs,0
Field executive sale executive office work,field-executive-sale-executive-office-work-jobs,0
Technician Electrical,technician-electrical-jobs,0
Technician Electricals,technician-electricals-jobs,0
 Email Marketing,email-marketing-jobs,0
 SEO,seo-jobs,0
 Customer Handling,customer-handling-jobs,0
Mkt sales,mkt-sales-jobs,0
12 passed,12-passed-jobs,0
Bsc honours graduate with basic computer knowledge,bsc-honours-graduate-with-basic-computer-knowledge-jobs,0
Filed Executive,filed-executive-jobs,0
 Hr Executive,hr-executive-jobs,0
 Hr Recruiter,hr-recruiter-jobs,0
 Hr Generalist,hr-generalist-jobs,0
 Pay Roll Management,pay-roll-management-jobs,0
 Administration Head,administration-head-jobs,0
 Payroll Executive,payroll-executive-jobs,0
 HR specialist,hr-specialist-jobs,0
 IT Recruiter,it-recruiter-jobs,0
 Talent Acquisition Executive,talent-acquisition-executive-jobs,0
 Human Resources,human-resources-jobs,0
 HR Head,hr-head-jobs,0
 HR Trainee,hr-trainee-jobs,0
 HR Associate,hr-associate-jobs,0
 Hr Operation,hr-operation-jobs,0
 Hr Payroll,hr-payroll-jobs,0
 Hr Administrator,hr-administrator-jobs,0
 Hr Assistant Manager,hr-assistant-manager-jobs,0
 Administration,administration-jobs,0
 Accounant,accounant-jobs,0
 Account Executive,account-executive-jobs,0
F/E,f-e-jobs,0
 Technical Support,technical-support-jobs,0
graduate engineer traniee,graduate-engineer-traniee-jobs,0
 PHP,php-jobs,0
 MYSQL,mysql-jobs,0
 HTML/CSS,html-css-jobs,0
 Jquery,jquery-jobs,0
Assistant Menager Electrical,assistant-menager-electrical-jobs,0
HTML/CSS,html-css-jobs,0
 c++,c-jobs,0
