name,alias,status
Crane Driver,crane-driver-jobs,1
Personal Driver,personal-driver-jobs,1
Device Driver,device-driver-jobs,1
International Driver,international-driver-jobs,1
Batch Driver,batch-driver-jobs,1
Taxi Driver,taxi-driver-jobs,1
Comercial Driver,comercial-driver-jobs,1
E Riksha Driver,e-riksha-driver-jobs,1
P Driver,p-driver-jobs,1
Private Car Driver,private-car-driver-jobs,1
Heavy Track Driver,heavy-track-driver-jobs,1
Van Driver,van-driver-jobs,1
E Rickshaw Driver,e-rickshaw-driver-jobs,1
Crain Driver,crain-driver-jobs,1
Car Trainer,car-trainer-jobs,1
Factory Helper,factory-helper-jobs,1
Factory Labour,factory-labour-jobs,1
Loader Unloader,loader-unloader-jobs,1
Steel Factory Helper,steel-factory-helper-jobs,1
Chemical Factory Labour,chemical-factory-labour-jobs,1
Steel Factory Labour,steel-factory-labour-jobs,1
Factory Supervisor,factory-supervisor-jobs,1
Factory Incharge,factory-incharge-jobs,1
Cargo Loader,cargo-loader-jobs,1
Worker,worker-jobs,1
Factory Worker,factory-worker-jobs,1
Slipper Worker,slipper-worker-jobs,1
Loading,loading-jobs,1
Unloading,unloading-jobs,1
Assistant Worker,assistant-worker-jobs,1
Laundry Worker,laundry-worker-jobs,1
Helper,helper-jobs,1
Export Helper,export-helper-jobs,1
Dispatch Helper,dispatch-helper-jobs,1
Slipper Helper,slipper-helper-jobs,1
Welder Helper,welder-helper-jobs,1
Chemical Factory Helper,chemical-factory-helper-jobs,1
Printing Helper,printing-helper-jobs,1
Helper Construction,helper-construction-jobs,1
Steel Helper,steel-helper-jobs,1
Helper Contractor,helper-contractor-jobs,1
Kitchen Helper,kitchen-helper-jobs,1
Helper Supervisor,helper-supervisor-jobs,1
Supervisor Helper,supervisor-helper-jobs,1
Machine Helper,machine-helper-jobs,1
Store Helper,store-helper-jobs,1
Garments Helper,garments-helper-jobs,1
Medical Shop Helper,medical-shop-helper-jobs,1
Offset Printing Helper,offset-printing-helper-jobs,1
AC Helper,ac-helper-jobs,1
Cutting Helper,cutting-helper-jobs,1
Packaging,packaging-jobs,1
Packaging Helper,packaging-helper-jobs,1
Packaging Supervisor,packaging-supervisor-jobs,1
Packing Boy,packing-boy-jobs,1
Book Packer,book-packer-jobs,1
Packing Spice,packing-spice-jobs,1
Tobacco Packing,tobacco-packing-jobs,1
Biscuit Packer,biscuit-packer-jobs,1
Footwear Packer,footwear-packer-jobs,1
Chocolate Packaging,chocolate-packaging-jobs,1
Glass Packing,glass-packing-jobs,1
Courier Packing,courier-packing-jobs,1
Labour,labour-jobs,1
Labour Labour,labour-labour-jobs,1
Export Labour,export-labour-jobs,1
Construction Labour,construction-labour-jobs,1
Labour Contractor,labour-contractor-jobs,1
Manual Labour,manual-labour-jobs,1
Labour Construction,labour-construction-jobs,1
Pollution Checker,pollution-checker-jobs,1
Air Pollution,air-pollution-jobs,1
Labour Supervisor,labour-supervisor-jobs,1
Dry Cleaner,dry-cleaner-jobs,1
Tent House,tent-house-jobs,1
Laundry Boy,laundry-boy-jobs,1
Laundry Supervisor,laundry-supervisor-jobs,1
Laundry Dryclean,laundry-dryclean-jobs,1
CNG Filler,cng-filler-jobs,1
Home Sweeper,home-sweeper-jobs,1
Steam Clothes,steam-clothes-jobs,1
Petrol Filler,petrol-filler-jobs,1
Fuel Service Man,fuel-service-man-jobs,1
Petrol Filling Executive,petrol-filling-executive-jobs,1
Movers,movers-jobs,1
Coco Boy,coco-boy-jobs,1
Pollution Control,pollution-control-jobs,1
Plastic,plastic-jobs,1
Plastic Maker,plastic-maker-jobs,1
Plastic Worker,plastic-worker-jobs,1
Polythene Maker,polythene-maker-jobs,1
Plastic Cutting,plastic-cutting-jobs,1
Plastic Line,plastic-line-jobs,1
Plastic Molding,plastic-molding-jobs,1
Granules,granules-jobs,1
Plastic Factory Worker,plastic-factory-worker-jobs,1
Plastic Grinder,plastic-grinder-jobs,1
Marketing,marketing-jobs,1
Marketing Executive,marketing-executive-jobs,1
Sales & Marketing,sales-and-marketing-jobs,1
Sales Marketing Executive,sales-marketing-executive-jobs,1
Marketing Boy,marketing-boy-jobs,1
Product Marketing,product-marketing-jobs,1
Marketing Supervisor,marketing-supervisor-jobs,1
Marketing Manager,marketing-manager-jobs,1
Online Marketing Executive,online-marketing-executive-jobs,1
Business & Marketing,business-and-marketing-jobs,1
Marketing Industry,marketing-industry-jobs,1
Marketing Strategist,marketing-strategist-jobs,1
BTL Marketing,btl-marketing-jobs,1
Marketing & Retail,marketing-and-retail-jobs,1
Marketing & Production,marketing-and-production-jobs,1
Sales Marketing,sales-marketing-jobs,1
Sr Marketing Manager,sr-marketing-manager-jobs,1
Marketing & Operation,marketing-and-operation-jobs,1
Marketing Incharge,marketing-incharge-jobs,1
Marketing Associate,marketing-associate-jobs,1
Marketing Head,marketing-head-jobs,1
Marketing Strategy,marketing-strategy-jobs,1
Marketing And Media,marketing-and-media-jobs,1
IT Marketing,it-marketing-jobs,1
Network Marketing,network-marketing-jobs,1
Marketing Coordinator,marketing-coordinator-jobs,1
Marketing Merchandiser,marketing-merchandiser-jobs,1
Retail Marketing,retail-marketing-jobs,1
Marketing Promotions,marketing-promotions-jobs,1
Marketing Trainer,marketing-trainer-jobs,1
Marketing work,marketing-work-jobs,1
International Marketing Manager,international-marketing-manager-jobs,1
Marketing Advisor,marketing-advisor-jobs,1
Market Research Executive,market-research-executive-jobs,1
Investment Manager,investment-manager-jobs,1
Emerging Market Manager,emerging-market-manager-jobs,1
Market Research Analyst,market-research-analyst-jobs,1
Electrician,electrician-jobs,1
LineMan,lineman-jobs,1
Solar Electrician,solar-electrician-jobs,1
Electrical Maintenance,electrical-maintenance-jobs,1
Wiring,wiring-jobs,1
Assistance Electrician,assistance-electrician-jobs,1
Battery Electrician,battery-electrician-jobs,1
Electrician Fitting,electrician-fitting-jobs,1
Motor Electrician,motor-electrician-jobs,1
Electrician Mechanic,electrician-mechanic-jobs,1
Asst. Electrician,asst-electrician-jobs,1
Tool Room Operator,tool-room-operator-jobs,1
Circuit Maker,circuit-maker-jobs,1
Cable Maker,cable-maker-jobs,1
Lightmen,lightmen-jobs,1
Light Repair,light-repair-jobs,1
Battery Repair,battery-repair-jobs,1
Electrical Incharge,electrical-incharge-jobs,1
Electric Switch Maker,electric-switch-maker-jobs,1
Motor Winding,motor-winding-jobs,1
Light Fitter,light-fitter-jobs,1
Electric Panel,electric-panel-jobs,1
Electrician Engineer,electrician-engineer-jobs,1
Electrician Assistant,electrician-assistant-jobs,1
Control and Automation,control-and-automation-jobs,1
Electronic Supervisor,electronic-supervisor-jobs,1
Technician,technician-jobs,1
AC Installation,ac-installation-jobs,1
AC Repairing,ac-repairing-jobs,1
AC Fitter,ac-fitter-jobs,1
Cctv Technician,cctv-technician-jobs,1
Field Technician,field-technician-jobs,1
Ac Technician,ac-technician-jobs,1
Car Technician,car-technician-jobs,1
Computer Technician,computer-technician-jobs,1
Refrigerator Technician,refrigerator-technician-jobs,1
Cabling Technician,cabling-technician-jobs,1
Transformer Technician,transformer-technician-jobs,1
Drill Machine Technician,drill-machine-technician-jobs,1
Electronics Technician,electronics-technician-jobs,1
Panel Board Electrician,panel-board-electrician-jobs,1
Washing Technician,washing-technician-jobs,1
Field Installation Technician,field-installation-technician-jobs,1
Panel Board Technician,panel-board-technician-jobs,1
Electronic Technician,electronic-technician-jobs,1
AirConditioner Technician,airconditioner-technician-jobs,1
Water Motor Technician,water-motor-technician-jobs,1
